Hamm Germany,238,6282
Luton UK,5811,-2595
Kragujevac Serbia,-93,169
Rheims France,3389,4185
Bielsko-Biała Poland,-2672,-566
Reggio Calabria RC Italy,-2567,148
Volgodonsk Rostovskaya oblast Russia,630,2355
St Helens Merseyside UK,288,123
Stockton on Tees Stockton-on-Tees UK,-1404,5690
Renfrewshire UK,707,-4135
San Sebastián Spain,1573,3583
Yuzhno-Sakhalinsk Sakhalinskaya oblast Russia,-207,-975
Herne Germany,3698,4834
Vantaa Finland,-3401,1092
York UK,-1577,2964
Modena Italy,-276,-3920
Thamesdown Dr Swindon UK,-1437,-6024
Leganés Spain,-2555,1814
Mülheim Germany,4840,3294
Cagliari Italy,-6047,1973
Miskolc Hungary,1918,-4932
Geneva Switzerland,5039,-714
Southend-on-Sea UK,4638,3968
Groningen The Netherlands,1141,332
Lille France,-2258,190
Turku Finland,4227,1161
Olsztyn Poland,138,-2307
Almería Spain,3770,3009
Cartagena Spain,-325,497
Melitopol' Zaporiz'ka oblast Ukraine 72300,-1259,-1320
Basle Switzerland,-691,-2585
Sibiu Romania,3402,-5178
New Forest National Park South Efford House Milford Rd Everton Hampshire SO41 0JD UK,-226,-3644
Caerphilly UK,-6142,471
Carmarthenshire UK,-2779,5730
Prato Italy,-65,649
Plzeň Czech Republic,-2172,-2287
Abakan Republic of Khakassia Russia,1848,593
Rijeka Croatia,-1830,5934
Toulon France,-4519,1676
Parma Italy,-2893,-3681
Baranavičy Belarus,1092,1331
Kerch Crimea Ukraine 98300,2083,-5891
Ruse Bulgaria,-573,-617
Maykop Republic of Adygea Russia,-2681,2534
Miass Chelyabinskaya oblast Russia,5842,2537
Solingen Germany,3593,3491
Târgu Mureş Romania,2931,-1880
Bath and North East Somerset UK,-4332,-3661
Osnabrück Germany,-1104,5647
Leghorn Italy,1687,2054
Lyubertsy Moscow Oblast Russia,-4802,-1061
Wycombe Swanley Greater London BR8 UK,5714,850
Terrassa Spain,1788,-3802
Armavir Krasnodarskiy Kray Russia,-5215,-1477
Ludwigshafen Germany,2370,-3773
Fuenlabrada Spain,-2662,2061
Embassy of Republic of Serbia 18 Hercegovačka Podgorica Montenegro,-5834,-2551
Alcala de Henares Spain,-2183,494
Basildon Essex UK,5435,2890
